Period,Value,state_name
2011,38054.82051,MA
2010,42804.82379,MA
2009,38966.65118,MA
2008,42505.47848,MA
2007,47075.97506,MA
2006,45597.77537,MA
2005,47515.4433,MA
2004,47500.48255,MA
2003,48385.024,MA
2002,42027.818,MA
2001,38478.434,MA
2018,115965.95372,MI
2017,112313.50058,MI
2016,112121.79002,MI
2015,113008.05016,MI
2014,106816.99101,MI
2013,105417.80056,MI
2012,108158.04967,MI
2011,109169.50687,MI
2010,111551.37129,MI
2009,101202.60516,MI
2008,114989.80581,MI
2007,119309.9362,MI
2006,112556.73849,MI
2005,121619.7712,MI
2004,118487.26942,MI
2003,111347.06,MI
2002,117889.087,MI
2001,111845.61,MI
2018,63234.28459,MN
2017,58748.84085,MN
2016,59478.75269,MN
2015,56979.76789,MN
2014,56998.32996,MN
2013,51296.98761,MN
2012,52754.43318,MN
2011,53120.06149,MN
2010,53670.227,MN
2009,52491.84871,MN
2008,54763.35986,MN
2007,54477.64643,MN
2006,53237.78913,MN
2005,53018.99488,MN
2004,52364.12664,MN
2003,55050.995,MN
2002,52777.965,MN
2001,48523.226,MN
2018,63516.2057,MS
2017,59727.63655,MS
2016,62881.29496,MS
2015,64757.86359,MS
2014,55127.09166,MS
2013,52810.26389,MS
2012,54584.295,MS
2011,51570.94264,MS
2010,54487.26002,MS
2009,48701.48411,MS
2008,48205.71103,MS
2007,50043.68593,MS
2006,46228.84737,MS
2005,45067.4533,MS
2004,43662.61318,MS
2003,40148.278,MS
2002,42888.812,MS
2001,53446.452,MS
2018,82174.11178,MO
2017,84607.31245,MO
2016,78611.51254,MO
2015,83640.06743,MO
2014,87834.46821,MO
2013,91626.59293,MO
2012,91804.3206,MO
2011,94876.3967,MO
2010,92312.98942,MO
2009,88354.27161,MO
2008,91028.79541,MO
2007,91153.08115,MO
2006,91686.34291,MO
2005,90828.23045,MO
2004,87632.91035,MO
2003,87225.087,MO
2002,81162.198,MO
2001,79544.873,MO
2018,27423.90119,MT
2017,28220.946,MT
2016,27783.52924,MT
2015,29302.40085,MT
2014,30257.61608,MT
2013,27687.32631,MT
2012,27804.78243,MT
2011,30128.54257,MT
2010,29791.18057,MT
2009,26712.73527,MT
2008,29637.137,MT
2007,28931.49304,MT
2006,28243.5364,MT
2005,27938.77774,MT
2004,26788.76766,MT
2003,26268.726,MT
2002,25473.705,MT
2001,24232.485,MT
2018,36809.33729,NE
2017,35407.0474,NE
2016,36524.86927,NE
2015,39883.39061,NE
2014,39431.29074,NE
2013,37104.62777,NE
2012,34217.29245,NE
2011,36095.051,NE
2010,36630.0062,NE
2009,34001.89214,NE
2008,32373.52225,NE
2007,32442.69878,NE
2006,31669.96885,NE
2005,31464.73362,NE
2004,32008.70885,NE
2003,30455.984,NE
2002,31618.494,NE
2001,30485.212,NE
2018,39929.09096,NV
